,Title_ID,Title,Year,Runtime_Minutes,Genres,Lifetime_Gross
1949,tt2649554,Midnight Special,2016,112.0,"Action,Drama,Mystery",3712282.0
1950,tt2842566,Feketerigó,2015,,Drama,78400.0
1951,tt2913948,Whensday,2013,100.0,Comedy,19463.0
1952,tt3001638,Mary Kom,2014,122.0,"Action,Biography,Drama",621300.0
1953,tt3152624,Trainwreck,2015,125.0,"Comedy,Drama,Romance",110212700.0
1954,tt3220576,Junan,2013,95.0,Drama,92181.0
1955,tt3300542,London Has Fallen,2016,99.0,"Action,Thriller",62524260.0
1956,tt3340446,Storm Boy,2019,99.0,"Adventure,Drama,Family",71760.0
1957,tt3486542,Mediterranea,2015,107.0,Drama,22076.0
1958,tt3675748,Gokudô daisenso,2015,115.0,"Action,Comedy,Horror",12756.0
1959,tt3732950,Body,2015,75.0,"Crime,Drama,Thriller",2634.0
1960,tt3742284,NH10,2015,115.0,"Action,Crime,Drama",303587.0
1961,tt3833746,The Visit,2015,83.0,Documentary,65206105.0
1962,tt3859272,Tragedy Girls,2017,98.0,"Comedy,Crime,Horror",61899.0
1963,tt3946960,Chapter & Verse,2017,97.0,Drama,84147.0
1964,tt4849438,Baahubali 2: The Conclusion,2017,167.0,"Action,Drama",20186659.0
1965,tt4922692,"Kiki, el amor se hace",2016,102.0,"Comedy,Romance",12450.0
1966,tt5028340,Mary Poppins Returns,2018,130.0,"Comedy,Family,Fantasy",171958438.0
1967,tt5083738,The Favourite,2018,119.0,"Biography,Drama,History",34366783.0
1968,tt2531344,Blockers,2018,102.0,Comedy,60311495.0
1969,tt2582500,Shut In,2016,91.0,"Drama,Mystery,Thriller",6900335.0
1970,tt3170832,Room,2015,118.0,"Drama,Thriller",14677654.0
1971,tt3361792,Tolkien,2019,112.0,"Biography,Drama,War",4535154.0
1972,tt3416532,A Monster Calls,2016,108.0,"Animation,Drama,Fantasy",3740823.0
1973,tt3844362,The Overnight,2015,79.0,"Comedy,Mystery",1110522.0
1974,tt3908142,The Love Witch,2016,120.0,"Romance,Thriller",228894.0
1975,tt4056738,Do You Believe?,2015,120.0,Drama,12985600.0
1976,tt4094598,The Penguin Counters,2017,67.0,"Adventure,Documentary",976.0
1977,tt4144190,Wiener-Dog,2016,88.0,"Comedy,Drama",477453.0
1978,tt4193394,Indignation,2016,110.0,"Drama,Romance",3401155.0
1979,tt4400994,The Ballad of Lefty Brown,2017,111.0,"Action,Drama,Western",7856.0
1980,tt4414694,Dreams Rewired,2015,88.0,"Documentary,History,News",11843.0
1981,tt4481514,The House,2017,88.0,"Comedy,Crime",25584504.0
1982,tt4972062,Don't Think Twice,2016,92.0,"Comedy,Drama",4417667.0
1983,tt5061814,Xia Luo te fan nao,2015,104.0,Comedy,1293626.0
1984,tt5222918,Toivon tuolla puolen,2017,100.0,"Comedy,Drama",183943.0
1985,tt2367996,Mugamoodi,2012,150.0,"Action,Adventure",100809.0
1986,tt2398241,Smurfs: The Lost Village,2017,90.0,"Adventure,Animation,Comedy",45020282.0
1987,tt2872750,Shaun the Sheep Movie,2015,85.0,"Adventure,Animation,Comedy",19375982.0
1988,tt2884206,I Origins,2014,106.0,"Drama,Romance,Sci-Fi",336472.0
1989,tt3063516,Bad Grandpa,2013,92.0,Comedy,102003019.0
1990,tt3104988,Crazy Rich Asians,2018,120.0,"Comedy,Romance",174532921.0
1991,tt3622592,Paper Towns,2015,109.0,"Comedy,Drama,Mystery",32000304.0
1992,tt3625220,Legends from the Sky,2015,85.0,Sci-Fi,91462.0
1993,tt3682448,Bridge of Spies,2015,142.0,"Drama,History,Thriller",72313754.0
1994,tt3802576,Brothers,2015,156.0,"Action,Drama,Sport",613775.0
1995,tt4273630,The Insanity of God,2016,,Documentary,1102525.0
1996,tt4302938,Kubo and the Two Strings,2016,101.0,"Action,Adventure,Animation",48023088.0
1997,tt4337072,Kôkaku Kidôtai,2015,100.0,"Action,Animation,Sci-Fi",101203.0
1998,tt4337690,90 Minutes in Heaven,2015,121.0,Drama,4842699.0
1999,tt4422656,Can You Dig This,2015,80.0,"Documentary,Drama,Family",15909.0
2000,tt4438848,Neighbors 2: Sorority Rising,2016,92.0,Comedy,55455765.0
2001,tt4623812,Luo man di ke xiao wang shi,2016,125.0,Drama,386540.0
2002,tt5164412,The Land,2016,104.0,Drama,43756.0
2003,tt5294550,All the Money in the World,2017,132.0,"Biography,Crime,Drama",25113707.0
2004,tt5325452,Boo! A Madea Halloween,2016,103.0,"Comedy,Drama,Horror",73206343.0
2005,tt5362988,Wind River,2017,107.0,"Crime,Drama,Mystery",33800859.0
2006,tt5814060,The Nun,2018,96.0,"Horror,Mystery,Thriller",117450119.0
2007,tt5836866,The Work,2017,89.0,Documentary,5853.0
2008,tt5963314,Frank and Ava,2018,110.0,"Biography,Drama,History",18829.0
2009,tt2446980,Joy,2015,124.0,Drama,56451232.0
2010,tt2557490,A Million Ways to Die in the West,2014,116.0,"Comedy,Western",43139300.0
2011,tt2561572,Get Hard,2015,100.0,"Comedy,Crime",90411453.0
2012,tt2690572,Polaris,2017,79.0,Drama,76277.0
2013,tt2828840,Jeonseolui joomeok,2013,154.0,Action,134213.0
2014,tt3216348,Incarnate,2016,91.0,"Horror,Thriller",4799774.0
2015,tt3234084,I Do... Until I Don't,2017,106.0,Comedy,280668.0
2016,tt3259312,Memleket,2016,105.0,Drama,2491.0
2017,tt3263904,Sully,2016,96.0,"Biography,Drama",125070033.0
2018,tt3397884,Sicario,2015,121.0,"Action,Crime,Drama",46889293.0
2019,tt3504226,Weekend of a Champion,2013,93.0,Documentary,4100.0
2020,tt3530002,The Night Before,2015,101.0,"Adventure,Comedy,Fantasy",43047372.0
2021,tt3922818,The Space Between Us,2017,120.0,"Adventure,Drama,Romance",7885294.0
2022,tt4129428,Jagga Jasoos,2017,161.0,"Action,Adventure,Comedy",861740.0
2023,tt4218696,The Wall,2017,88.0,"Action,Drama,Thriller",1803064.0
2024,tt4768764,Beterang,2015,123.0,"Action,Comedy,Crime",1200627.0
2025,tt4819576,Jue ji,2016,118.0,"Animation,Fantasy",350456.0
2026,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,115.0,"Crime,Drama",54513740.0
2027,tt5052214,Bi-mil,2015,102.0,"Crime,Drama",56451232.0
2028,tt5912454,Blue Jay,2016,80.0,Drama,21626.0
2029,tt5962210,Ingrid Goes West,2017,98.0,"Comedy,Drama",3024308.0
2030,tt5997666,Jab Harry Met Sejal,2017,143.0,"Comedy,Drama,Romance",1664648.0
2031,tt6015328,Chui lung,2017,128.0,"Action,Biography,Crime",456854.0
2032,tt3398048,Tevar,2015,157.0,"Action,Drama,Romance",236002.0
2033,tt3435418,Addicted,2014,97.0,"Documentary,Music",17390770.0
2034,tt3450650,Paul Blart: Mall Cop 2,2015,94.0,"Action,Comedy,Crime",71038190.0
2035,tt3454104,Nasumice,2018,83.0,Drama,31445012.0
2036,tt3569356,Not Cool,2014,93.0,"Comedy,Drama,Romance",36026.0
2037,tt3716142,Lekar Hum Deewana Dil,2014,140.0,"Comedy,Romance",20874.0
2038,tt3740066,Pop Aye,2017,104.0,Drama,77976.0
2039,tt3741860,Awake: The Life of Yogananda,2014,87.0,Documentary,1539680.0
